People - Person → Handle,People - Person → Location,Title,Description,Image URL,Flash Image Collections → Title,Flash Image Quotes → X Small Total Amount Cents,Flash Image Quotes → X Large Total Amount Cents
444yatty,"Denver, CO",Soft Dagger,soft protection charm,s3://venue-ink-prd-app/static/people/per-8hAAw4yw6b2/flash_images/fli-8lbrEzlJY7E/flash.8ba524cf.webp,Soft Abstract,"10,000","42,000"
444yatty,"Denver, CO",Tree Trunks,Twerk,s3://venue-ink-prd-app/static/people/per-8hAAw4yw6b2/flash_images/fli-8lqxgpviHey/flash.6fb3cb68.webp,Adventure Time,"10,000","42,000"
444yatty,"Denver, CO",Him,from The Powerpuff Girls,s3://venue-ink-prd-app/static/people/per-8hAAw4yw6b2/flash_images/fli-8lqxyuZD22q/flash.fca36347.webp,90s & 00s,"10,000","42,000"
444yatty,"Denver, CO",Devilish Bart,from The Simpson ,s3://venue-ink-prd-app/static/people/per-8hAAw4yw6b2/flash_images/fli-8lqyqOAF2Bc/flash.0af2c4de.webp,90s & 00s,"10,000","42,000"
444yatty,"Denver, CO",Turbo Granny,from Dan da Dan,s3://venue-ink-prd-app/static/people/per-8hAAw4yw6b2/flash_images/fli-8mJiFnDADVg/flash.189cb725.webp,Anime,"10,000","42,000"
444yatty,"Denver, CO",Turbo Granny,from Dandadan,s3://venue-ink-prd-app/static/people/per-8hAAw4yw6b2/flash_images/fli-8mKU1npbLZA/flash.d53c055c.webp,Anime,"10,000","42,000"
444yatty,"Denver, CO",Turbo Granny,from Dandadan,s3://venue-ink-prd-app/static/people/per-8hAAw4yw6b2/flash_images/fli-8mKU1oggKtE/flash.e3aaa4c0.webp,Anime,"10,000","42,000"
444yatty,"Denver, CO",Turbo Granny,from Dandadan,s3://venue-ink-prd-app/static/people/per-8hAAw4yw6b2/flash_images/fli-8mKU1pOgA3E/flash.05a9aa42.webp,Anime,"10,000","42,000"
444yatty,"Denver, CO",Cynthia,from Rugrats,s3://venue-ink-prd-app/static/people/per-8hAAw4yw6b2/flash_images/fli-8mPy5sRPQXo/flash.832098da.webp,90s & 00s,"10,000","42,000"
89mag_nificent_tattoos,,Stay positive,Flower with script,s3://venue-ink-prd-app/static/people/per-8kwsikDrWbY/flash_images/fli-8nzYwYwRRhY/flash.a0d156ce.webp,Find line floral,"5,000","35,000"
8ngeloffline,Newport Beach CA,Toki doki flash 1,Sakura lady with heart frame. Full color only. ,s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/flash.053d6e11.jpg,Toki doki,"15,000","50,000"
8ngeloffline,Newport Beach CA,MSI Frankenstein girl,Full color only. Can do bigger size for more,s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/flash.086d13fa.jpg,Toki doki,"15,000","50,000"
8ngeloffline,Newport Beach CA,Toki doki flash 8,Full color only stars and candy ,s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/flash.28b65aec.jpg,Toki doki,"15,000","50,000"
8ngeloffline,Newport Beach CA,Toki doki flash 6,Y2K Star frame full color only ,s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/flash.36e46779.jpg,Toki doki,"15,000","45,000"
8ngeloffline,Newport Beach CA,Toki doki flash 4,Martini cherry unicorno full color only,s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/flash.5e2bb076.jpg,Toki doki,"15,000","35,000"
8ngeloffline,Newport Beach CA,Toki doki flash 7,Full color only bubble toki ,s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/flash.651c61a9.jpg,Toki doki,"15,000","45,000"
8ngeloffline,Newport Beach CA,Toki doki flash 3,Strawberry unicorno ,s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/flash.b01e374b.jpg,Toki doki,"15,000","50,000"
8ngeloffline,Newport Beach CA,Toki doki flash 2,Little latte cow ,s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/flash.b9755084.jpg,Toki doki,"15,000","50,000"
8ngeloffline,Newport Beach CA,Toki doki flash 5,Little skull cherries ,s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/flash.e3580581.jpg,Toki doki,"15,000","50,000"
8ngeloffline,Newport Beach CA,-Toga bunny outfit full body,Available in black and grey or color,s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/fli-8kRKg616p6W/flash.4a72081a.webp,July tattoo special,"15,000","50,000"
8ngeloffline,Newport Beach CA,Rikka portrait concept,"Available in black and grey or color, border can be added",s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/fli-8kRKHsSUjSq/flash.b6379efa.webp,July tattoo special,"15,000","45,000"
8ngeloffline,Newport Beach CA,Miku w sniper full body concept,",Available in black and grey or color",s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/fli-8kRKlQexMxs/flash.2e2fd9e4.webp,July tattoo special,"15,000","50,000"
8ngeloffline,Newport Beach CA,Stocking ecchi full body concept,Available in color or black and grey.,s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/fli-8kRKqazqs64/flash.7fe4f662.webp,July tattoo special,"15,000","50,000"
8ngeloffline,Newport Beach CA,I Portrait concept,Available in black and grey or color borde r can be added :,s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/fli-8kRKureoSHY/flash.c32d0c42.webp,July tattoo special,"15,000","40,000"
8ngeloffline,Newport Beach CA,Cyber portrait concept,‘Available in black and grey or color border can b added,s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/fli-8kRL5R6JP60/flash.dbfb4e1c.webp,July tattoo special,"15,000","50,000"
8ngeloffline,Newport Beach CA,Oni portrait concept,.Available in black and grey or color border can be added,s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/fli-8kRLA9LCbuC/flash.b17372c9.webp,July tattoo special,"15,000","50,000"
8ngeloffline,Newport Beach CA,Decora portrait concept,Available in black and grey or color border can be added,s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/fli-8kRLFRoDfuq/flash.f33fb4b0.webp,July tattoo special,"15,000","50,000"
8ngeloffline,Newport Beach CA,Happy sugar life portrait concept,Full color only,s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/fli-8kRLiuOOUoi/flash.2c9ecd33.webp,July tattoo special,"15,000","50,000"
8ngeloffline,Newport Beach CA,Nurse miku portrait concept,Full color only ,s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/fli-8kRLn0VMJRg/flash.832e31fe.webp,July tattoo special,"15,000","50,000"
8ngeloffline,Newport Beach CA,Shalltear overlord portrait concept,Full color only border will be added,s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/fli-8kRLsFS5rUm/flash.8fe28cc1.webp,July tattoo special,"15,000","50,000"
8ngeloffline,Newport Beach CA,Sewn shut portrait concept ,Available in black and grey or color,s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/fli-8kRLyttFrEm/flash.dc3adb47.webp,July tattoo special,"15,000","50,000"
8ngeloffline,Newport Beach CA,Needless full body,Available in black and grey or color,s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/fli-8kRM3Dot2IK/flash.12161bf0.webp,July tattoo special,"15,000","50,000"
8ngeloffline,Newport Beach CA,Bondage cat girl full body,Available in color or black and grey,s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/fli-8kRM78owNAe/flash.f12c2fab.webp,July tattoo special,"15,000","50,000"
8ngeloffline,Newport Beach CA,Demon girl portrait,.Available in black and grey or color,s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/fli-8kRMAtCjvPM/flash.3b25d9f6.webp,July tattoo special,"15,000","50,000"
8ngeloffline,Newport Beach CA,Gloomy bear x super sonico full body,Full color only,s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/fli-8kRMEpu6Sbg/flash.dcc2049b.webp,July tattoo special,"15,000","50,000"
8ngeloffline,Newport Beach CA,Gloomy bear X super sonico spine,Full color only,s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/fli-8kRMg0vY9ei/flash.943c03d6.webp,July tattoo special,"15,000","50,000"
8ngeloffline,Newport Beach CA,Custom lower back tattoo,Full color only back placement only,s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/fli-8kRMJ30E7ay/flash.da6c0dd7.webp,July tattoo special,"15,000","50,000"
8ngeloffline,Newport Beach CA,Evangelion rei portait,Full color only,s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/fli-8kRMO9dU8Uy/flash.ebebf09a.webp,July tattoo special,"15,000","60,000"
8ngeloffline,Newport Beach CA,Evangelion Eva wings concept,Black or red. Back chest or rib placement,s3://venue-ink-prd-app/static/people/per-8hvDPGVybVQ/flash_images/fli-8kRMYHF9vP6/flash.752953cc.webp,July tattoo special,"15,000","50,000"
a2tatted,Baltimore,Pinterest Faves,Simple scripture tattoo,s3://venue-ink-prd-app/static/people/per-8ahpqHn1Ksq/flash_images/fli-8oePSJY7uXQ/flash.c68a67c4.webp,Scripture,"6,000","10,500"
abstracthippo,"Mesa, Arizona",Readers of the Valley designs,Please send chat after claiming to specify which design(s). These can be customized slightly to add shading or color (add on cost),s3://venue-ink-prd-app/static/people/per-8opbbMZveb2/flash_images/fli-8q2LTaFcsbo/flash.ff9ce414.webp,Bookish,"10,000","35,000"
abstracthippo,"Mesa, Arizona",Readers of the Valley designs,Please send chat after claiming to specify which design(s). These can be customized slightly to add shading or color (add on cost),s3://venue-ink-prd-app/static/people/per-8opbbMZveb2/flash_images/fli-8q2LTdEhLPs/flash.ef94e8fb.webp,Bookish,"10,000","35,000"
abstracthippo,"Mesa, Arizona",Readers of the Valley designs,Please send chat after claiming to specify which design(s). These can be customized slightly to add shading or color (add on cost),s3://venue-ink-prd-app/static/people/per-8opbbMZveb2/flash_images/fli-8q2LTfEAqzw/flash.f893bf15.webp,Bookish,"10,000","35,000"
abstracthippo,"Mesa, Arizona",Readers of the Valley designs,Please send chat after claiming to specify which design(s). These can be customized slightly to add shading or color (add on cost),s3://venue-ink-prd-app/static/people/per-8opbbMZveb2/flash_images/fli-8q2LTi50x28/flash.2b9685f6.webp,Bookish,"10,000","35,000"
abstracthippo,"Mesa, Arizona",Readers of the Valley designs,Please send chat after claiming to specify which design(s). These can be customized slightly to add shading or color (add on cost),s3://venue-ink-prd-app/static/people/per-8opbbMZveb2/flash_images/fli-8q2LTlJPkrg/flash.0aff9279.webp,Bookish,"10,000","35,000"
abstracthippo,"Mesa, Arizona",Readers of the Valley designs,Please send chat after claiming to specify which design(s). These can be customized slightly to add shading or color (add on cost),s3://venue-ink-prd-app/static/people/per-8opbbMZveb2/flash_images/fli-8q2LTnudukK/flash.cc4c8ae7.webp,Bookish,"10,000","35,000"
abstracthippo,"Mesa, Arizona",Readers of the Valley designs,Please send chat after claiming to specify which design(s). These can be customized slightly to add shading or color (add on cost),s3://venue-ink-prd-app/static/people/per-8opbbMZveb2/flash_images/fli-8q2LTpsz1o8/flash.d2f71b32.webp,Bookish,"10,000","35,000"
abstracthippo,"Mesa, Arizona",Readers of the Valley designs,Please send chat after claiming to specify which design(s). These can be customized slightly to add shading or color (add on cost),s3://venue-ink-prd-app/static/people/per-8opbbMZveb2/flash_images/fli-8q2LTrpu9Dc/flash.febe6e79.webp,Bookish,"10,000","35,000"
abstracthippo,"Mesa, Arizona",Readers of the Valley designs,Please send chat after claiming to specify which design(s). These can be customized slightly to add shading or color (add on cost),s3://venue-ink-prd-app/static/people/per-8opbbMZveb2/flash_images/fli-8q2LTtoFGHQ/flash.afd9121d.webp,Bookish,"10,000","35,000"
abstracthippo,"Mesa, Arizona",Readers of the Valley designs,Please send chat after claiming to specify which design(s). These can be customized slightly to add shading or color (add on cost),s3://venue-ink-prd-app/static/people/per-8opbbMZveb2/flash_images/fli-8q2LTvn9ZbM/flash.c6692791.webp,Bookish,"10,000","35,000"
abstracthippo,"Mesa, Arizona",Readers of the Valley designs,Please send chat after claiming to specify which design(s). These can be customized slightly to add shading or color (add on cost),s3://venue-ink-prd-app/static/people/per-8opbbMZveb2/flash_images/fli-8q2LTxpBTM0/flash.1013b47a.webp,Bookish,"10,000","35,000"
addi_lee_ink,Pueblo,Tooth and nail ,blk n grey or color ,s3://venue-ink-prd-app/static/people/per-8mevCIYPH0a/flash_images/fli-8q6bbSJ1XCi/flash.f264fdc0.webp,Choice,"10,000","30,000"
adri.tattooo,,"3for£150 -limited offer, LONDON only","To enquire, please send: – The 3 tattoos you'd like to get – Your preferred date . I’ll reply as soon as possible to confirm your spot 🖤",s3://venue-ink-prd-app/static/people/per-8gmsctuSe4e/flash_images/fli-8mADjp9Nifg/flash.45b6afa7.webp,SEPTEMBER SPECIALS,"15,000","25,000"
adri.tattooo,,"3for£100 - limited offer, BEDFORD only","To enquire, please send: – The 3 tattoos you'd like to get – Your preferred date.  I’ll reply as soon as possible to confirm your spot 🖤",s3://venue-ink-prd-app/static/people/per-8gmsctuSe4e/flash_images/fli-8mADu12Ar44/flash.afecf469.webp,SEPTEMBER SPECIALS,"15,000","25,000"
a.girl.is.a.tattoo.gun,Montreal,Midevil,Price varies depending on design,s3://venue-ink-prd-app/static/people/per-8pdRj2wBHOa/flash_images/fli-8piGbwDiWno/flash.c8726637.webp,High contrast,"17,000","50,000"
a.girl.is.a.tattoo.gun,Montreal,Ribbon and such,Price varies depending on design,s3://venue-ink-prd-app/static/people/per-8pdRj2wBHOa/flash_images/fli-8piGk6geB2u/flash.8497bd7c.webp,High contrast,"17,000","50,000"
a.girl.is.a.tattoo.gun,Montreal,Frames and more,Price varies depending on design,s3://venue-ink-prd-app/static/people/per-8pdRj2wBHOa/flash_images/fli-8piGoG1RaBE/flash.ac861563.webp,High contrast,"17,000","50,000"
a.girl.is.a.tattoo.gun,Montreal,Woodland,Price varies depending on design,s3://venue-ink-prd-app/static/people/per-8pdRj2wBHOa/flash_images/fli-8piGWXKjqQi/flash.60d2619f.webp,High contrast,"17,000","50,000"
a.girl.is.a.tattoo.gun,Montreal,Midevil 1,Price varies depending on design,s3://venue-ink-prd-app/static/people/per-8pdRj2wBHOa/flash_images/fli-8piJ5ucBcm0/flash.ce39ec13.webp,High contrast,"17,000","50,000"
a.girl.is.a.tattoo.gun,Montreal,Gunz n pretty,Price varies depending on design,s3://venue-ink-prd-app/static/people/per-8pdRj2wBHOa/flash_images/fli-8piJ9gTxC5Y/flash.7b155f69.webp,High contrast,"17,000","50,000"
a.girl.is.a.tattoo.gun,Montreal,Sailor moon & more,Price varies depending on design,s3://venue-ink-prd-app/static/people/per-8pdRj2wBHOa/flash_images/fli-8piJCSBZHH6/flash.aa2de868.webp,High contrast,"17,000","50,000"
a.girl.is.a.tattoo.gun,Montreal,Church contortion,Price varies depending on design,s3://venue-ink-prd-app/static/people/per-8pdRj2wBHOa/flash_images/fli-8piJEnCJyGe/flash.ec989906.webp,High contrast,"17,000","50,000"
a.girl.is.a.tattoo.gun,Montreal,Fans & girls,Price varies depending on design,s3://venue-ink-prd-app/static/people/per-8pdRj2wBHOa/flash_images/fli-8piJOE6DTqy/flash.90ba8949.webp,High contrast,"17,000","50,000"
a.girl.is.a.tattoo.gun,Montreal,Spinal,Price varies depending on design,s3://venue-ink-prd-app/static/people/per-8pdRj2wBHOa/flash_images/fli-8piJq9rnmPA/flash.ce45dba4.webp,High contrast,"17,000","50,000"
a.girl.is.a.tattoo.gun,Montreal,Dogs n more,Price varies depending on design,s3://venue-ink-prd-app/static/people/per-8pdRj2wBHOa/flash_images/fli-8piJtFlm5TM/flash.30fd1134.webp,High contrast,"17,000","50,000"
a.girl.is.a.tattoo.gun,Montreal,Horses and contrast,Price varies depending on design,s3://venue-ink-prd-app/static/people/per-8pdRj2wBHOa/flash_images/fli-8piJzDr0vya/flash.e88b4825.webp,High contrast,"17,000","50,000"
a.girl.is.a.tattoo.gun,Montreal,Fish n guns ,Price varies depending on design,s3://venue-ink-prd-app/static/people/per-8pdRj2wBHOa/flash_images/fli-8piK1vIMS00/flash.281d0cce.webp,High contrast,"17,000","50,000"
a.girl.is.a.tattoo.gun,Montreal,Catholic guilt,Price varies depending on design,s3://venue-ink-prd-app/static/people/per-8pdRj2wBHOa/flash_images/fli-8piK4YZgcuu/flash.eba96771.webp,High contrast,"17,000","50,000"
a.girl.is.a.tattoo.gun,Montreal,Folklore 2,Price varies depending on design,s3://venue-ink-prd-app/static/people/per-8pdRj2wBHOa/flash_images/fli-8piLm7xDRNQ/flash.757fba25.webp,Black work / illustrative,"17,000","50,000"
a.girl.is.a.tattoo.gun,Montreal,Folklore 3,Price varies depending on design,s3://venue-ink-prd-app/static/people/per-8pdRj2wBHOa/flash_images/fli-8piLqQUGypM/flash.2d2974f0.webp,Black work / illustrative,"17,000","50,000"
a.girl.is.a.tattoo.gun,Montreal,Folklore 1,Price varies depending on design,s3://venue-ink-prd-app/static/people/per-8pdRj2wBHOa/flash_images/fli-8piLSDlbTzU/flash.d4a72663.webp,Black work / illustrative,"17,000","50,000"
a.girl.is.a.tattoo.gun,Montreal,Forest,Price varies depending on design,s3://venue-ink-prd-app/static/people/per-8pdRj2wBHOa/flash_images/fli-8piLsUxSvnk/flash.98df42fc.webp,Black work / illustrative,"17,000","50,000"
a.girl.is.a.tattoo.gun,Montreal,Forest 2 ,Price varies depending on design,s3://venue-ink-prd-app/static/people/per-8pdRj2wBHOa/flash_images/fli-8piLvtyW21Q/flash.d69efacd.webp,Black work / illustrative,"17,000","50,000"
a.girl.is.a.tattoo.gun,Montreal,Ribbon,Price varies depending on design,s3://venue-ink-prd-app/static/people/per-8pdRj2wBHOa/flash_images/fli-8piLyHK2eFk/flash.53402a16.webp,Black work / illustrative,"17,000","50,000"
aimee.tattoo,"321A 6st S, Studio#5 Lethbridge ",Junji Ito,Tomie,s3://venue-ink-prd-app/static/people/per-8hJW7wrRpTs/flash_images/fli-8ndJy2u1iAi/flash.801eaf5b.webp,Anime,"7,500","40,000"
aimee.tattoo,"321A 6st S, Studio#5 Lethbridge ",Junji Ito,Tomie,s3://venue-ink-prd-app/static/people/per-8hJW7wrRpTs/flash_images/fli-8ndMAmqM0KO/flash.db4aa9d6.webp,Anime,"7,500","40,000"
ajdrewtattoos,"Milton Keynes, UK",Colour valentines ,Please specify which design when booking 💚,s3://venue-ink-prd-app/static/people/per-8dq8lTEw3W4/flash_images/fli-8qGBcqodl7g/flash.15990ac1.webp,Repeatable Flash,"2,000","6,000"
ajdrewtattoos,"Milton Keynes, UK",Shaded valentines ,Please specify which design when booking 💚,s3://venue-ink-prd-app/static/people/per-8dq8lTEw3W4/flash_images/fli-8qGBjPTrYmG/flash.33719896.webp,Repeatable Flash,"2,000","6,000"
ajdrewtattoos,"Milton Keynes, UK",Linework valentines ,Please specify which design when booking 💚 ,s3://venue-ink-prd-app/static/people/per-8dq8lTEw3W4/flash_images/fli-8qGBp7vB3p2/flash.c710b302.webp,Repeatable Flash,"2,000","6,000"
alexismtattoos,Asheville,Dogbane Leaf beetle,black and grey or color,s3://venue-ink-prd-app/static/people/per-8hsvgwrHmBE/flash_images/flash.13cba977.jpg,Bugs,"15,000","100,000"
alexismtattoos,Asheville,Eucalyptus ,black and grey or color,s3://venue-ink-prd-app/static/people/per-8hsvgwrHmBE/flash_images/flash.15d566a9.webp,Plants and Flowers,"15,000","108,000"
alexismtattoos,Asheville,Swallowtail,black and grey or color,s3://venue-ink-prd-app/static/people/per-8hsvgwrHmBE/flash_images/flash.1bc00937.webp,Bugs,"15,000","108,000"
alexismtattoos,Asheville,Raspberry Sprig,Black and grey or color,s3://venue-ink-prd-app/static/people/per-8hsvgwrHmBE/flash_images/flash.355c31d7.jpg,Plants and Flowers,"15,000","108,000"
alexismtattoos,Asheville,Cicada 1,black and grey or color,s3://venue-ink-prd-app/static/people/per-8hsvgwrHmBE/flash_images/flash.4541f53d.webp,Bugs,"15,000","108,000"
alexismtattoos,Asheville,Blackberry Sprig,Black and grey or color,s3://venue-ink-prd-app/static/people/per-8hsvgwrHmBE/flash_images/flash.45e1c913.jpg,Plants and Flowers,"15,000","108,000"
alexismtattoos,Asheville,Rosemary,black and grey or color,s3://venue-ink-prd-app/static/people/per-8hsvgwrHmBE/flash_images/flash.47686a81.webp,Plants and Flowers,"15,000","108,000"
alexismtattoos,Asheville,Poppy 2 ,black and grey or color ,s3://venue-ink-prd-app/static/people/per-8hsvgwrHmBE/flash_images/flash.4d78f6fd.webp,Plants and Flowers,"15,000","108,000"
alexismtattoos,Asheville,Cicada 2 ,black and grey or color,s3://venue-ink-prd-app/static/people/per-8hsvgwrHmBE/flash_images/flash.6422afa1.webp,Bugs,"15,000","108,000"
alexismtattoos,Asheville,Orchids,black and grey or color ,s3://venue-ink-prd-app/static/people/per-8hsvgwrHmBE/flash_images/flash.725717c3.webp,Plants and Flowers,"15,000","108,000"
alexismtattoos,Asheville,Poppy 1,black and grey or color,s3://venue-ink-prd-app/static/people/per-8hsvgwrHmBE/flash_images/flash.92af033d.webp,Plants and Flowers,"15,000","108,000"
alexismtattoos,Asheville,Morpho,Black and grey or color,s3://venue-ink-prd-app/static/people/per-8hsvgwrHmBE/flash_images/flash.92dd0ceb.jpg,Bugs,"15,000","100,000"
alexismtattoos,Asheville,Red Spotted Purple,Black and grey or color,s3://venue-ink-prd-app/static/people/per-8hsvgwrHmBE/flash_images/flash.93bb2abf.jpg,Bugs,"15,000","100,000"
alexismtattoos,Asheville,Dove 2,Black and grey ,s3://venue-ink-prd-app/static/people/per-8hsvgwrHmBE/flash_images/flash.9a646911.jpg,Birds,"15,000","108,000"
alexismtattoos,Asheville,Carolina Wren,Black and grey or color ,s3://venue-ink-prd-app/static/people/per-8hsvgwrHmBE/flash_images/flash.9bfd06d7.jpg,Birds,"15,000","108,000"
alexismtattoos,Asheville,Blueberries,color or black and grey,s3://venue-ink-prd-app/static/people/per-8hsvgwrHmBE/flash_images/flash.ad30a53a.jpg,Plants and Flowers,"15,000","100,000"
alexismtattoos,Asheville,Six Spotted Tiger Beetle,Black and grey or color,s3://venue-ink-prd-app/static/people/per-8hsvgwrHmBE/flash_images/flash.b222ae8b.jpg,Bugs,"15,000","100,000"
alexismtattoos,Asheville,Variegated Fritillary,Black and grey or color,s3://venue-ink-prd-app/static/people/per-8hsvgwrHmBE/flash_images/flash.b56fd273.jpg,Bugs,"15,000","100,000"
alexismtattoos,Asheville,Wolf Spider,Black and grey,s3://venue-ink-prd-app/static/people/per-8hsvgwrHmBE/flash_images/flash.d0d1a8ba.jpg,Horror October 2025,"15,000","108,000"
alexismtattoos,Asheville,Eastern Tiger Swallowtail,Black and grey or color,s3://venue-ink-prd-app/static/people/per-8hsvgwrHmBE/flash_images/flash.d82b44b3.jpg,Bugs,"15,000","100,000"
alexismtattoos,Asheville,Strawberries,Black and grey or color,s3://venue-ink-prd-app/static/people/per-8hsvgwrHmBE/flash_images/flash.df55169a.jpg,Plants and Flowers,"15,000","108,000"
alexismtattoos,Asheville,Dove 1,Black and grey,s3://venue-ink-prd-app/static/people/per-8hsvgwrHmBE/flash_images/flash.df9678c4.jpg,Birds,"15,000","108,000"
alexismtattoos,Asheville,Stag Beetle,Black and grey,s3://venue-ink-prd-app/static/people/per-8hsvgwrHmBE/flash_images/flash.e8d00807.jpg,Bugs,"15,000","100,000"
alexismtattoos,Asheville,Stag Beetle ,black and grey or color,s3://venue-ink-prd-app/static/people/per-8hsvgwrHmBE/flash_images/flash.ebe2bee5.webp,Bugs,"15,000","108,000"
alexismtattoos,Asheville,Yellow Argiope ,Black and grey or color,s3://venue-ink-prd-app/static/people/per-8hsvgwrHmBE/flash_images/flash.fbe6652c.jpg,Horror October 2025,"15,000","108,000"
alexismtattoos,Asheville,Barracuda," black and grey, forearm, leg",s3://venue-ink-prd-app/static/people/per-8hsvgwrHmBE/flash_images/fli-8kByNaFzfXM/flash.4bf6d866.webp,Horror October 2025,"15,000","108,000"
